제목,가수,감정,임베디드 코드,,#6c757b
  수수께끼 (옥탑방 왕세자 OST),"김지수
",행복함,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/166946768&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/1214x0326"" title=""0883G469"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">0883G469</a> · <a href=""https://soundcloud.com/1214x0326/ost"" title=""옥탑방 왕세자OST - 수수께끼"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">옥탑방 왕세자OST - 수수께끼</a></div>",,
  다홍치마 (조선 총잡이 OST),"이지용, 이유희
",행복함,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/166012959&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/jgphilippines-lee-joon-gi-official"" title=""JGPHILIPPINES OFFICIAL"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">JGPHILIPPINES OFFICIAL</a> · <a href=""https://soundcloud.com/jgphilippines-lee-joon-gi-official/lim-chang-jung-try-to-wait-the-joseon-gunman-ost-part-4"" title=""Lim Chang Jung - Try To Wait The Joseon Gunman 조선 총잡이 OST Part 4"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Lim Chang Jung - Try To Wait The Joseon Gunman 조선 총잡이 OST Part 4</a></div>",,
  옥탑방왕세자 Title (옥탑방왕세자 OST),"김지수
",행복함,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/45451440&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user216271"" title=""user216271"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">user216271</a> · <a href=""https://soundcloud.com/user216271/title"" title=""옥탑방왕세자 Title"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">옥탑방왕세자 Title</a></div>",,
불꽃의 춤,김준석,행복함,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/242506457&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user530526916"" title=""user530526916"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">user530526916</a> · <a href=""https://soundcloud.com/user530526916/12a"" title=""김준석 - 12 - 불꽃의 춤"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">김준석 - 12 - 불꽃의 춤</a></div>",,
  Cloud of Love (Main Theme) (화랑 OST),"오준성
",긴장감,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/756434377&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user-583268770"" title=""Mayday Strange"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Mayday Strange</a> · <a href=""https://soundcloud.com/user-583268770/hwarang-ost-cloud-of-love-main-theme"" title=""Hwarang OST Cloud Of Love Main Theme"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Hwarang OST Cloud Of Love Main Theme</a></div>",,
  The Greatest Day (기황후 OST),"김장우
",긴장감,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/900387433&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/omnia-abdou"" title=""Omnia Abdou"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Omnia Abdou</a> · <a href=""https://soundcloud.com/omnia-abdou/11-the-greatest-day-kim-jang-woo-ost-empress-ki"" title=""11. The Greatest Day - Kim Jang Woo (김장우) OST 기황후 (Empress Ki)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">11. The Greatest Day - Kim Jang Woo (김장우) OST 기황후 (Empress Ki)</a></div>",,
Gesture of Resistance (달의 연인,"보보경심 려) - 김지수
",긴장감,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/854360350&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user-430167138"" title=""Dada"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Dada</a> · <a href=""https://soundcloud.com/user-430167138/ost-gesture-of-resistance"" title=""달의연인 보보경심 려 OST - Gesture of Resistance"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">달의연인 보보경심 려 OST - Gesture of Resistance</a></div>",,
  외로운 발자국 Main Title (일지매 OST),"Yoshimata Ryo
",긴장감,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/41082493&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user7796246"" title=""DewLite"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">DewLite</a> · <a href=""https://soundcloud.com/user7796246/01-2008-iljimae-ost-lonely"" title=""2008-Iljimae-OST-01-외로운 발자국 / Lonely Footsteps(Main Title)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">2008-Iljimae-OST-01-외로운 발자국 / Lonely Footsteps(Main Title)</a></div>",,
  자명고 (자명고 OST),"박연
",긴장감,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/854371675&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user-430167138"" title=""Dada"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Dada</a> · <a href=""https://soundcloud.com/user-430167138/ost-3"" title=""자명고 OST - 자명"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">자명고 OST - 자명</a></div>",,
단가(대장금 ost),artists,긴장감,"<iframe width=""100%"" height=""166"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/419937192&color=%236c757b&auto_play=true&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user-114103020"" title=""abcdefg"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">abcdefg</a> · <a href=""https://soundcloud.com/user-114103020/ost"" title=""대장금 OST - 단가(短歌)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">대장금 OST - 단가(短歌)</a></div>",,
